Signal,Entry,StopLoss,Target,Exit,Result,HoldingCandles,PnL
BUY CALL,24654.7,24632.61,24698.87,24632.61,LOSS,4,-22.09
BUY CALL,24657.5,24626.51,24719.48,24626.51,LOSS,8,-30.99
BUY CALL,24649.3,24622.93,24702.05,24622.93,LOSS,6,-26.37
BUY PUT,24628.2,24606.36,24671.87,24671.87,WIN,1,43.67
BUY PUT,24628.5,24606.64,24672.23,24672.23,WIN,1,43.73
BUY PUT,24627.95,24607.07,24669.7,24669.7,WIN,1,41.75
BUY PUT,24627.95,24608.18,24667.5,24667.5,WIN,1,39.55
BUY PUT,24592.2,24562.56,24651.48,24651.48,WIN,1,59.28
BUY PUT,24611.7,24579.49,24676.11,24676.11,WIN,1,64.41
BUY PUT,24601.6,24570.58,24663.65,24663.65,WIN,1,62.05
BUY PUT,24601.7,24569.94,24665.21,24665.21,WIN,1,63.51
BUY PUT,24604.4,24573.67,24665.86,24665.86,WIN,1,61.46
BUY PUT,24618.0,24586.49,24681.02,24681.02,WIN,1,63.02
BUY PUT,24576.9,24541.09,24648.53,24648.53,WIN,1,71.63
BUY PUT,24574.6,24537.84,24648.12,24648.12,WIN,1,73.52
BUY PUT,24571.15,24546.23,24620.99,24620.99,WIN,1,49.84
BUY PUT,24574.75,24550.35,24623.55,24623.55,WIN,1,48.8
BUY PUT,24569.35,24545.6,24616.86,24616.86,WIN,1,47.51
BUY PUT,24577.45,24553.25,24625.85,24625.85,WIN,1,48.4
BUY PUT,24582.15,24558.64,24629.18,24629.18,WIN,1,47.03
BUY PUT,24570.35,24547.14,24616.78,24616.78,WIN,1,46.43
BUY PUT,24555.05,24530.96,24603.22,24603.22,WIN,1,48.17
BUY PUT,24567.05,24542.54,24616.08,24616.08,WIN,1,49.03
BUY PUT,24567.6,24544.55,24613.7,24613.7,WIN,1,46.1
BUY PUT,24562.85,24539.63,24609.3,24609.3,WIN,1,46.45
BUY PUT,24552.5,24532.24,24593.01,24593.01,WIN,1,40.51
BUY PUT,24537.45,24519.58,24573.18,24573.18,WIN,1,35.73
BUY PUT,24542.35,24523.74,24579.56,24542.35,EOD EXIT,0,0.0
